Region,Agency,Catchment,LawaSiteID,SiteID,CouncilSiteID,Latitude,Longitude,WFSLanduse,WFSAltitude,RECLandcover,Indicator,SampleDateTime,Timezone,AgencyRawValue,Symbol,Value,Units,QCNumber (Agency value),QCNEMSEquivalent
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-03-28 08:00:00,NZST,0.028,,0.028,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-04-12 08:52:00,NZST,0.01,,0.01,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-05-27 08:24:00,NZST,0.021,,0.021,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-06-19 08:52:00,NZST,0.028,,0.028,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-07-17 09:52:00,NZST,0.023,,0.023,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-08-16 08:25:00,NZST,0.025,,0.025,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-10-07 08:04:00,NZST,0.03,,0.03,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-10-31 08:14:00,NZST,0.024,,0.024,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-11-25 08:48:00,NZST,0.023,,0.023,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2019-12-23 07:25:00,NZST,0.01,,0.01,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-01-29 08:09:00,NZST,0.031,,0.031,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-02-25 07:30:00,NZST,0.053,,0.053,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-03-13 08:25:00,NZST,0.03,,0.03,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-04-30 09:29:00,NZST,0.028,,0.028,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-05-28 09:51:00,NZST,0.043,,0.043,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-06-26 10:38:00,NZST,0.027,,0.027,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-07-09 10:50:00,NZST,0.017,,0.017,mg/l,0.0,600.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2020-08-07 10:09:00,NZST,0.019,,0.019,mg/l,0.0,600.0
